"Id_Accedeweb","Cd_Accedeweb","Description","Label","Rank","Dtype","Cd_Rgaa3","Id_Test_Id"
"915","Rgaa32017-12-12-1-Accedeweb-GRAPH-1-3",NULL,NULL,"377","G","Rgaa32017-12-12-1","303"
"916","Rgaa32017-12-13-1-Accedeweb-HTML-12-1",NULL,NULL,"378","H","Rgaa32017-12-13-1","304"
"917","Rgaa32017-12-13-2-Accedeweb-HTML-12-1",NULL,NULL,"379","H","Rgaa32017-12-13-2","305"
"918","Rgaa32017-13-2-1-Accedeweb-HTML-5-5",NULL,NULL,"380","H","Rgaa32017-13-2-1","311"
"919","Rgaa32017-13-2-1-Accedeweb-EDIT-3-3",NULL,NULL,"381","E","Rgaa32017-13-2-1","311"
"920","Rgaa32017-13-2-3-Accedeweb-HTML-5-5",NULL,NULL,"382","H","Rgaa32017-13-2-3","313"
"921","Rgaa32017-13-6-1-Accedeweb-GRAPH-5-1",NULL,NULL,"383","G","Rgaa32017-13-6-1","317"
"922","Rgaa32017-13-6-1-Accedeweb-HTML-5-4",NULL,NULL,"384","H","Rgaa32017-13-6-1","317"
"923","Rgaa32017-13-6-1-Accedeweb-EDIT-3-2",NULL,NULL,"385","E","Rgaa32017-13-6-1","317"
"924","Rgaa32017-13-6-2-Accedeweb-GRAPH-5-1",NULL,NULL,"386","G","Rgaa32017-13-6-2","318"
"925","Rgaa32017-13-6-2-Accedeweb-HTML-5-4",NULL,NULL,"387","H","Rgaa32017-13-6-2","318"
"926","Rgaa32017-13-6-2-Accedeweb-EDIT-3-2",NULL,NULL,"388","E","Rgaa32017-13-6-2","318"
"927","Rgaa32017-13-6-3-Accedeweb-GRAPH-5-1",NULL,NULL,"389","G","Rgaa32017-13-6-3","319"
"928","Rgaa32017-13-6-3-Accedeweb-EDIT-3-2",NULL,NULL,"390","E","Rgaa32017-13-6-3","319"
"929","Rgaa32017-13-17-1-Accedeweb-GRAPH-8-8",NULL,NULL,"391","G","Rgaa32017-13-17-1","334"
"930","Rgaa32017-13-17-1-Accedeweb-EDIT-8-2",NULL,NULL,"392","E","Rgaa32017-13-17-1","334"
